id,host_id,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13265306,8492007,1,1.32093,103.85278000000001,1,137,7,4,782.0,0.1,203,339
13265702,8492007,1,1.3241399999999999,103.8527,1,250,3,18,492.0,0.46,203,259
13266699,20870482,1,1.2816100000000001,103.83985,1,206,3,48,78.0,1.24,9,69
13269443,74752625,1,1.29595,103.82249,0,75,7,0,1887.0,,1,0
13273148,74790755,1,1.34679,103.84961,0,35,183,0,1887.0,,1,365
13274269,17526618,1,1.28304,103.84485,2,31,1,12,603.0,0.31,13,365
13274598,17526618,1,1.28453,103.84359,2,31,1,8,22.0,0.2,13,364
13275737,23722617,1,1.31313,103.88755,1,85,20,51,241.0,1.33,84,36
13282424,4432314,1,1.31301,103.88579,0,60,2,49,812.0,1.25,2,0
13284904,74937081,1,1.29718,103.87737,1,122,4,1,702.0,0.04,1,0
13285000,5022152,1,1.3000399999999999,103.81597,1,258,3,3,757.0,0.08,1,0
13289513,74980194,1,1.29378,103.82695,1,131,2,0,1887.0,,1,0
13292321,75010888,2,1.35506,103.76813,0,110,1,0,1887.0,,1,0
13297184,75013785,1,1.29906,103.89825,1,111,1,0,1887.0,,1,0
13300207,33414090,1,1.28817,103.79203000000001,0,50,3,1,1175.0,0.03,1,0
13306815,75177923,5,1.4438799999999998,103.80937,0,50,1,0,1887.0,,1,0
13317120,1439258,1,1.2814299999999998,103.7875,0,58,10,8,108.0,0.2,32,361
13322414,55362570,1,1.32453,103.77438000000001,0,31,1,0,1887.0,,1,0
13325753,48825650,2,1.34156,103.73541999999999,0,75,2,163,8.0,4.28,2,327
13338509,75539587,1,1.31249,103.85911,0,83,1,12,179.0,0.33,1,360
13349525,15503071,1,1.31492,103.85409,0,79,90,7,755.0,0.19,13,241
13354987,47894524,2,1.3387799999999999,103.70399,2,69,2,8,452.0,0.43,2,0
13364584,42182224,2,1.3799,103.76061,1,186,30,4,913.0,0.12,3,0
13377049,7080517,1,1.31883,103.86183,1,139,28,6,230.0,0.19,11,334
13381343,16741163,1,1.31501,103.90151,1,200,2,3,1123.0,0.08,1,0
13387049,31645237,1,1.31331,103.82491,1,215,2,8,764.0,0.21,1,0
13396802,1439258,1,1.28156,103.78686,0,87,5,5,33.0,0.13,32,361
